BEGIN
CREATE TABLE
INSERT 0 542
 rk  |        school        | div |  str  | park  |  ofs  |  dfs  |  sos  
-----+----------------------+-----+-------+-------+-------+-------+-------
   1 | TCU                  |   1 | 2.190 | 0.943 | 1.169 | 0.534 | 1.039
   2 | Grand Canyon         |   1 | 2.138 | 1.036 | 1.568 | 0.733 | 0.949
   3 | Alabama              |   1 | 2.124 | 0.951 | 1.261 | 0.594 | 1.082
   4 | UCF                  |   1 | 1.978 | 0.959 | 1.461 | 0.739 | 1.048
   5 | Florida Tech         |   2 | 1.875 | 0.942 | 1.733 | 0.683 | 0.901
   6 | Texas                |   1 | 1.856 | 0.863 | 1.289 | 0.695 | 1.001
   7 | UCLA                 |   1 | 1.808 | 1.057 | 1.509 | 0.835 | 1.027
   8 | Maryland             |   1 | 1.805 | 1.022 | 1.183 | 0.656 | 1.001
   9 | Texas A&M            |   1 | 1.717 | 1.014 | 1.230 | 0.716 | 1.086
  10 | Central Ark.         |   1 | 1.701 | 1.090 | 1.381 | 0.812 | 1.008
  11 | UC Santa Barbara     |   1 | 1.690 | 1.068 | 1.082 | 0.641 | 1.009
  12 | Dallas Baptist       |   1 | 1.684 | 1.181 | 1.304 | 0.774 | 1.038
  13 | Missouri             |   1 | 1.681 | 1.047 | 0.951 | 0.566 | 1.108
  14 | Missouri St.         |   1 | 1.637 | 0.905 | 1.357 | 0.829 | 1.034
  15 | Gardner-Webb         |   1 | 1.635 | 1.043 | 1.208 | 0.739 | 1.011
  16 | UC Riverside         |   1 | 1.621 | 1.106 | 1.172 | 0.723 | 0.980
  17 | Georgia              |   1 | 1.600 | 1.022 | 1.351 | 0.844 | 1.086
  18 | Houston              |   1 | 1.585 | 0.996 | 1.176 | 0.742 | 1.038
  19 | Mississippi St.      |   1 | 1.581 | 0.996 | 1.456 | 0.921 | 1.075
  20 | Southern California  |   1 | 1.576 | 0.954 | 1.345 | 0.854 | 1.001
  21 | Duke                 |   1 | 1.575 | 0.945 | 1.253 | 0.795 | 1.011
  22 | Florida              |   1 | 1.572 | 1.054 | 1.212 | 0.771 | 1.095
  23 | Erskine              |   2 | 1.553 | 1.059 | 1.435 | 0.682 | 0.856
  24 | South Carolina       |   1 | 1.538 | 0.982 | 1.108 | 0.720 | 1.078
  25 | Fla. Atlantic        |   1 | 1.524 | 1.115 | 1.128 | 0.740 | 1.038
  26 | Arizona              |   1 | 1.517 | 1.213 | 1.226 | 0.808 | 1.024
  27 | Rice                 |   1 | 1.514 | 0.944 | 1.272 | 0.841 | 1.069
  28 | CSUN                 |   1 | 1.513 | 1.093 | 0.855 | 0.565 | 0.979
  29 | Miami (FL)           |   1 | 1.497 | 1.017 | 1.210 | 0.808 | 1.053
  30 | Liberty              |   1 | 1.493 | 0.980 | 1.427 | 0.956 | 1.047
  31 | Columbus St.         |   2 | 1.480 | 0.947 | 1.359 | 0.678 | 0.934
  32 | UAB                  |   1 | 1.476 | 0.976 | 0.921 | 0.624 | 1.062
  33 | Nicholls St.         |   1 | 1.471 | 0.913 | 0.993 | 0.675 | 1.028
  34 | Coastal Caro.        |   1 | 1.469 | 1.026 | 1.143 | 0.778 | 1.040
  35 | Ohio St.             |   1 | 1.457 | 0.966 | 1.128 | 0.774 | 1.021
  36 | Virginia             |   1 | 1.449 | 0.936 | 1.071 | 0.739 | 1.013
  37 | Creighton            |   1 | 1.447 | 0.962 | 1.020 | 0.705 | 0.924
  38 | Henderson St.        |   2 | 1.436 | 0.972 | 1.224 | 0.629 | 0.913
  39 | Valdosta St.         |   2 | 1.425 | 0.914 | 1.441 | 0.747 | 0.936
  40 | Charleston So.       |   1 | 1.410 | 1.128 | 1.195 | 0.847 | 1.036
  41 | Iowa                 |   1 | 1.406 | 0.974 | 1.095 | 0.778 | 0.982
  42 | Sam Houston St.      |   1 | 1.401 | 1.052 | 1.014 | 0.724 | 1.046
  43 | Fresno Pacific       |   2 | 1.400 | 0.878 | 1.321 | 0.697 | 0.883
  44 | Lenoir-Rhyne         |   2 | 1.398 | 1.169 | 1.287 | 0.680 | 0.891
  45 | West Virginia        |   1 | 1.390 | 1.047 | 1.039 | 0.747 | 1.043
  46 | UNCW                 |   1 | 1.388 | 0.981 | 1.305 | 0.940 | 1.004
  47 | A&M-Corpus Christi   |   1 | 1.383 | 1.033 | 1.089 | 0.787 | 1.024
  48 | Illinois             |   1 | 1.375 | 1.053 | 1.091 | 0.793 | 0.969
  48 | IPFW                 |   1 | 1.375 | 1.097 | 1.210 | 0.880 | 0.930
  50 | Bradley              |   1 | 1.373 | 0.982 | 1.196 | 0.871 | 1.032
  51 | Houston Baptist      |   1 | 1.363 | 1.203 | 1.027 | 0.754 | 1.035
  52 | Nevada               |   1 | 1.353 | 1.147 | 1.351 | 0.999 | 0.942
  53 | West Florida         |   2 | 1.341 | 0.911 | 1.203 | 0.662 | 0.962
  54 | Troy                 |   1 | 1.317 | 1.079 | 0.892 | 0.678 | 1.004
  55 | LSU                  |   1 | 1.312 | 1.001 | 1.120 | 0.854 | 1.091
  56 | Wright St.           |   1 | 1.306 | 0.997 | 1.290 | 0.988 | 0.973
  57 | Saint Leo            |   2 | 1.303 | 1.093 | 1.386 | 0.786 | 0.924
  58 | California           |   1 | 1.301 | 0.968 | 1.128 | 0.867 | 1.013
  58 | Wofford              |   1 | 1.301 | 1.070 | 1.345 | 1.034 | 0.991
  60 | Presbyterian         |   1 | 1.297 | 1.030 | 1.090 | 0.840 | 1.038
  61 | Illinois St.         |   1 | 1.294 | 0.948 | 1.174 | 0.907 | 1.013
  62 | Ole Miss             |   1 | 1.293 | 0.987 | 1.211 | 0.937 | 1.126
  62 | Kennesaw St.         |   1 | 1.293 | 1.013 | 1.301 | 1.006 | 1.036
  64 | North Carolina       |   1 | 1.290 | 1.037 | 1.197 | 0.928 | 1.039
  64 | Arkansas             |   1 | 1.290 | 1.069 | 1.228 | 0.951 | 1.101
  66 | San Diego St.        |   1 | 1.289 | 1.080 | 1.167 | 0.905 | 0.989
  66 | Delaware             |   1 | 1.289 | 1.157 | 0.834 | 0.647 | 0.976
  68 | Milwaukee            |   1 | 1.288 | 0.924 | 1.169 | 0.908 | 0.992
  69 | Indiana St.          |   1 | 1.285 | 1.092 | 1.491 | 1.161 | 1.007
  69 | East Central         |   2 | 1.285 | 1.069 | 1.199 | 0.689 | 0.907
  71 | Armstrong            |   2 | 1.281 | 1.043 | 1.479 | 0.853 | 0.867
  72 | Ill.-Chicago         |   1 | 1.280 | 0.987 | 1.336 | 1.044 | 0.972
  73 | Jacksonville St.     |   1 | 1.276 | 0.995 | 1.246 | 0.977 | 0.974
  74 | UC San Diego         |   2 | 1.272 | 0.933 | 1.018 | 0.591 | 0.891
  75 | Western Ky.          |   1 | 1.269 | 1.045 | 1.298 | 1.023 | 1.038
  76 | Catawba              |   2 | 1.267 | 1.149 | 1.154 | 0.672 | 0.904
  77 | Oklahoma             |   1 | 1.265 | 1.103 | 1.069 | 0.845 | 1.036
  77 | Ball St.             |   1 | 1.265 | 1.126 | 1.203 | 0.951 | 0.979
  77 | Akron                |   1 | 1.265 | 0.992 | 1.109 | 0.877 | 0.957
  80 | East Tenn. St.       |   1 | 1.264 | 1.216 | 1.141 | 0.903 | 0.966
  81 | South Fla.           |   1 | 1.256 | 1.076 | 1.126 | 0.897 | 1.019
  82 | Angelo St.           |   2 | 1.255 | 0.954 | 1.317 | 0.775 | 0.908
  83 | Morehead St.         |   1 | 1.250 | 1.371 | 1.179 | 0.943 | 0.962
  84 | Savannah St.         |   1 | 1.249 | 0.995 | 1.073 | 0.859 | 0.955
  85 | Evansville           |   1 | 1.245 | 0.985 | 1.232 | 0.989 | 1.016
  86 | Saint Joseph's       |   1 | 1.233 | 1.025 | 0.913 | 0.740 | 0.959
  87 | Loyola Marymount     |   1 | 1.221 | 1.101 | 0.935 | 0.765 | 0.980
  88 | Sacramento St.       |   1 | 1.214 | 0.913 | 1.083 | 0.892 | 0.951
  89 | Mount Olive          |   2 | 1.207 | 1.042 | 1.559 | 0.954 | 0.927
  90 | Oregon               |   1 | 1.204 | 0.871 | 1.034 | 0.859 | 1.014
  91 | Florida St.          |   1 | 1.201 | 1.048 | 1.033 | 0.860 | 1.060
  92 | Lynn                 |   2 | 1.190 | 1.112 | 0.994 | 0.617 | 0.932
  93 | Central Mich.        |   1 | 1.189 | 1.033 | 1.297 | 1.090 | 0.943
  94 | Western Caro.        |   1 | 1.188 | 1.247 | 1.255 | 1.056 | 0.978
  95 | La.-Monroe           |   1 | 1.187 | 1.049 | 1.131 | 0.953 | 1.002
  96 | UMass Lowell         |   1 | 1.186 | 0.834 | 0.994 | 0.839 | 0.960
  97 | Kentucky             |   1 | 1.185 | 1.088 | 1.186 | 1.000 | 1.120
  97 | Nova Southeastern    |   2 | 1.185 | 1.047 | 1.075 | 0.670 | 0.936
  99 | Charlotte            |   1 | 1.183 | 1.014 | 0.740 | 0.626 | 1.044
 100 | Franklin Pierce      |   2 | 1.180 | 1.061 | 1.080 | 0.676 | 0.825
 101 | Southeastern La.     |   1 | 1.178 | 1.060 | 1.211 | 1.029 | 1.012
 101 | West Ga.             |   2 | 1.178 | 0.928 | 1.154 | 0.724 | 0.926
 103 | La Salle             |   1 | 1.175 | 1.062 | 0.795 | 0.676 | 0.945
 104 | North Florida        |   1 | 1.169 | 1.128 | 1.005 | 0.860 | 1.024
 105 | George Mason         |   1 | 1.167 | 0.997 | 1.084 | 0.929 | 0.976
 106 | Northern Ill.        |   1 | 1.163 | 1.057 | 1.410 | 1.212 | 0.975
 106 | Appalachian St.      |   1 | 1.163 | 1.232 | 1.003 | 0.863 | 1.027
 108 | Georgia St.          |   1 | 1.161 | 1.194 | 1.093 | 0.941 | 1.027
 109 | Austin Peay          |   1 | 1.160 | 1.147 | 1.030 | 0.888 | 0.973
 110 | Arkansas St.         |   1 | 1.157 | 0.931 | 1.188 | 1.027 | 1.036
 111 | Tulane               |   1 | 1.151 | 0.931 | 1.000 | 0.869 | 1.062
